tx_id,timestamp,account_id,amount,currency,merchant_id,merchant_country,channel,ip_address,device_id,status,label
04727657-39e1-4adb-be92-a29cccb66f23,2025-11-26T00:58:50.229962+00:00,acc_970,72.97,CAD,merchant_67,CA,web,204.187.17.197,dev_2774,success,genuine
528cddb6-e3d8-4ab4-a526-d2e32198a4c0,2025-11-26T00:55:32.229962+00:00,acc_293,43.82,CAD,merchant_43,RU,branch,216.93.171.221,dev_40,success,genuine
2cec55a3-c327-403b-a106-752a26262ef0,2025-11-26T00:57:47.229962+00:00,acc_1907,24.74,CAD,merchant_111,FR,mobile,170.173.109.86,dev_1848,success,genuine
ffb1701b-26f9-490c-bd64-d1428b5323dd,2025-11-26T00:57:25.229962+00:00,acc_1869,43.1,CAD,merchant_67,DE,branch,186.202.132.101,dev_4019,success,genuine
78404bc1-57b8-445b-9571-d3dc685d4b13,2025-11-26T00:56:42.229962+00:00,acc_1329,163.55,CAD,merchant_108,IN,branch,36.96.136.154,dev_4471,success,genuine
860d0689-74fd-4324-8642-702e4b706513,2025-11-26T00:54:50.229962+00:00,acc_1210,150.98,CAD,merchant_14,DE,branch,238.159.164.129,dev_4323,success,genuine
806c35e9-8a52-4198-a8e1-e8b2b9c4db52,2025-11-26T00:59:08.229962+00:00,acc_1975,107.44,CAD,merchant_180,FR,web,159.93.38.115,dev_4604,success,genuine
64a0e8a4-04ad-4982-a674-d490d445c663,2025-11-26T00:58:15.229962+00:00,acc_1864,12.91,CAD,merchant_191,US,web,178.133.56.84,dev_3125,success,genuine
75711aa3-e058-4d5d-b138-3d53ce91d0cf,2025-11-26T00:56:14.229962+00:00,acc_1353,56.91,CAD,merchant_82,BR,web,227.82.55.204,dev_1056,success,genuine
959835c1-4c8b-4382-9297-3e06a78dd862,2025-11-26T00:58:41.229962+00:00,acc_1702,74.08,CAD,merchant_120,FR,branch,93.113.119.123,dev_556,success,genuine
214fcc3b-5e92-416c-9e59-edb56bd177a2,2025-11-26T00:55:55.229962+00:00,acc_2000,97.59,CAD,merchant_151,GB,branch,244.228.137.45,dev_9,success,genuine
3e933cdc-a0ed-4c67-929a-8eee4e97665d,2025-11-26T00:55:56.229962+00:00,acc_731,54.12,CAD,merchant_160,US,web,80.64.171.36,dev_1432,success,genuine
f29c2209-c1a7-44f4-9af2-e40592248deb,2025-11-26T00:57:40.229962+00:00,acc_1528,37.9,CAD,merchant_53,GB,mobile,60.208.217.70,dev_3503,success,genuine
932b0261-f212-4db3-b651-3149ceebfbc4,2025-11-26T00:58:05.229962+00:00,acc_167,2.0,CAD,merchant_88,DE,web,215.216.196.9,dev_2964,success,genuine
5ee53b97-258b-4065-9e60-00cbb7f24712,2025-11-26T00:56:51.229962+00:00,acc_1684,110.26,CAD,merchant_134,FR,web,236.193.146.13,dev_433,success,genuine
86fe45c2-4626-45f7-87e9-60b0436a9808,2025-11-26T00:56:50.229962+00:00,acc_918,151.62,CAD,merchant_134,GB,mobile,239.198.251.35,dev_3858,success,genuine
cadcee84-f259-4c35-81fe-cd33d51d9456,2025-11-26T00:56:02.229962+00:00,acc_500,30.73,CAD,merchant_39,RU,web,57.255.251.18,dev_838,success,genuine
e7023b6f-3ac0-476e-9d1a-7a137871cf26,2025-11-26T00:57:21.229962+00:00,acc_1819,53.0,CAD,merchant_173,IN,branch,34.255.61.27,dev_444,success,genuine
e79c5f0c-2a66-463e-b2c2-3f478047f3b5,2025-11-26T00:56:00.229962+00:00,acc_1271,196.03,CAD,merchant_161,US,web,60.167.128.110,dev_3072,success,genuine
33c658f5-434e-4dd6-9af1-a71f2879c953,2025-11-26T00:59:18.229962+00:00,acc_112,22.5,CAD,merchant_26,BR,web,60.106.234.192,dev_2071,success,genuine
3bd89da8-cd35-4053-976d-38a88c3d8777,2025-11-26T00:58:11.229962+00:00,acc_1853,14.33,CAD,merchant_129,NG,branch,204.45.178.4,dev_4615,success,genuine
d1515a8f-6294-4f5d-b2f8-e726f6220e27,2025-11-26T00:55:32.229962+00:00,acc_209,99.89,CAD,merchant_97,BR,mobile,120.231.247.174,dev_3498,success,genuine
892f8553-32f1-47f0-9bbd-5acd6b8dd3c1,2025-11-26T00:58:11.229962+00:00,acc_37,15.32,CAD,merchant_150,IN,mobile,100.58.101.81,dev_4887,success,genuine
7acd1f5f-a0b9-45f9-9ee9-2c17bdaace4c,2025-11-26T00:56:06.229962+00:00,acc_1531,145.68,CAD,merchant_136,BR,web,188.144.119.252,dev_4519,success,genuine
0ab67e1c-e154-4e15-a9db-3e4743d8269f,2025-11-26T00:59:47.229962+00:00,acc_1509,64.54,CAD,merchant_105,NG,mobile,236.186.101.149,dev_782,success,genuine
